number,value,datetime_start,datetime_complete,duration,params_C,params_bootstrap,params_classifier,params_criterion,params_learning_rate,params_max_depth,params_max_features,params_max_iter,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_penalty,params_replacement,params_solver,state
0,0.8512396256688577,2026-04-20 13:46:48.921895,2026-04-20 13:46:51.131924,0 days 00:00:02.210029,16.250065885596978,,LogisticRegression,,,,,340.0,,,,l1,,liblinear,COMPLETE
1,0.8585750354460119,2026-04-20 13:46:51.133263,2026-04-20 13:47:41.304413,0 days 00:00:50.171150,,False,BalancedRandomForestClassifier,gini,,20.0,,,4.0,9.0,186.0,,True,,COMPLETE
2,0.8638666177114812,2026-04-20 13:47:41.305458,2026-04-20 13:48:06.567085,0 days 00:00:25.261627,,False,BalancedRandomForestClassifier,gini,,18.0,log2,,10.0,4.0,219.0,,True,,COMPLETE
3,0.8512395193889436,2026-04-20 13:48:06.568116,2026-04-20 13:48:07.075179,0 days 00:00:00.507063,32.53759310136818,,LogisticRegression,,,,,373.0,,,,l2,,liblinear,COMPLETE
4,0.8512396987362987,2026-04-20 13:48:07.076091,2026-04-20 13:48:08.770625,0 days 00:00:01.694534,13.812230101797892,,LogisticRegression,,,,,300.0,,,,l1,,liblinear,COMPLETE
5,0.82911688366036,2026-04-20 13:48:08.771687,2026-04-20 13:48:21.884743,0 days 00:00:13.113056,,False,BalancedRandomForestClassifier,gini,,3.0,,,5.0,8.0,125.0,,False,,COMPLETE
6,0.8566914381897609,2026-04-20 13:48:21.885859,2026-04-20 13:48:30.839582,0 days 00:00:08.953723,,,xgb,,0.04259805125503114,9.0,,,,,241.0,,,,COMPLETE
7,0.8512439897878288,2026-04-20 13:48:30.840980,2026-04-20 13:48:31.370016,0 days 00:00:00.529036,1.8178250261658613,,LogisticRegression,,,,,252.0,,,,l2,,liblinear,COMPLETE
8,0.851288810020336,2026-04-20 13:48:31.371065,2026-04-20 13:48:32.880809,0 days 00:00:01.509744,0.01918828730393692,,LogisticRegression,,,,,233.0,,,,l1,,saga,COMPLETE
9,0.8512395160676963,2026-04-20 13:48:32.881744,2026-04-20 13:48:33.413144,0 days 00:00:00.531400,19.11663567350578,,LogisticRegression,,,,,289.0,,,,l2,,liblinear,COMPLETE
